SubscriberSource,SubscriberLastName,SubscriberFirstName,SubcriberMiddleName,SubscriberTitle,SubscriberNoCopies,SubscriberLocation,PlottedLocation,State,LocationConfidenceLevel,PlottedLocation_Latitude,PlottedLocation_Longtitude,PlottedLocation_Note,PlottedLocation_Link,Preceeding Location ,CensusDate,CensusLastName,CensusFirstName,CensusAddress,CensusCity,CensusWard/ County,CensusNumberOfHouseholdMembers,Under 16,Over16,Females,Slaves,All other Free Persons,Notes,SK_Notes,YearBorn,Place Born,YearDied,Age in 1790,YearArrivedinUS,Occupation,SlaveOwner,NumberSlaves,Network
Badin Bible,Elder,Arnold,,,,Frederic County,"Emmitsburg, MD",MD,City,,,Connected to the Elder family in Emmitsburg.,https://books.google.com/books?id=abs7AQAAMAAJ&pg=PA88&dq=%22arnold+elder%22+plantation&hl=en&sa=X&ved=0ahUKEwjlm5-_6NPbAhVM4VQKHZ79AtwQ6AEIKTAA#v=onepage&q=%22arnold%20elder%22%20plantation&f=false,,1790,Elder,Arnold,Frederick,Frederick,"Frederick, MD",10,0,1,2,7,0,"Arnold, Charles, Guy, William, and Richard Elder are all sons of the same man, William Elder (1709-1777), who died in Frederick County. He had two wives. See his page at http://www.colonial-settlers-md-va.us/getperson.php?personID=I017340&tree=tree1.  Need to double check sources used in this source. See Sister Mary Louise Donnelly, William Elder: Ancestors and Descendants (1986), p 21-22. He was born 1745 and died in 1812. He lived in Frederick Co all his life. He was a farmer and a slave owner.",,1745,,1812,45,,"Farmer, slave owner",1,7,Mount St. Mary's Seminary
Badin Bible,Elder,Charles,,,,[unknown],"Frederick County, MD",MD,County,,,,,"Frederick County, MD",1790,Elder,Charles,Frederick,Frederick,"Frederick, MD",18,2,6,3,7,0,"See Sister Mary Louise Donnelly, William Elder: Ancestors and Descendants (1986), p 15. He ws born 1730 and died in 1804. He lived in Frederick Co from around the age of 5 until he died. He was a farmer and a slave owner.",,1730,,1804,60,,"Farmer, slave owner",1,7,
Badin Bible,Elder,Guy,,,,[unknown],"Emmitsburg, MD",MD,City,,,Burried with the Elder family in Emmitsburg,https://books.google.com/books?id=IbHPAAAAMAAJ&pg=PA61&dq=%22guy+elder%22+catholic&hl=en&sa=X&ved=0ahUKEwiB0v6o7NPbAhUIxVQKHSpwB9sQ6AEIKTAA#v=onepage&q=%22guy%20elder%22%20catholic&f=false,,1790,Elder,Guy,Frederick,Frederick,"Frederick, MD",16,3,2,9,2,0,"See Sister Mary Louise Donnelly, William Elder: Ancestors and Descendants (1986), p 16. He ws born 1731 and died in 1805. He lived in Frederick Co from around the age of 4 until he died. He was a farmer and a slave owner.",,1731,,1806,59,,"Farmer, slave owner",1,2,
Badin Bible,Elder,Richard,,,,[unknown],"Emmitsburg, MD",MD,City,,,Brother of William Elder,,,,,,,,,,,,,,,"doesn't appear in 1790 census.  See Sister Mary Louise Donnelly, William Elder: Ancestors and Descendants (1986), p 19. He ws born 1734 and died on May 16, 1790. He lived in Frederick Co from an infant until he died. He was a farmer. His widow, Phoebe Elder, appeared in the 1790 census (confirmed).",,1734,,1790,56,,Farmer,,,Brother of William Elder
Badin Bible,Elder,William,,,,[unknown],"Elder Cemetery, Emmitsburg, MD 21727",MD,Point,,,Elder's father's plantation included what is now Mount Saint Mary's College and Seminary. The adjacent plantation and cemetery were Elder family propertly.,https://www.findagrave.com/memorial/13594815/william-elder,,1790,Elder,William,Frederick,Frederick,"Frederick, MD",16,3,4,7,2,0,"See Sister Mary Louise Donnelly, William Elder: Ancestors and Descendants (1986), p 14. He ws born 1729 and died by 1804. He lived in Frederick Co from near the age of 7 until he died. He was a farmer and blacksmith, and a slave owner.",,1729,,1804,61,,"Farmer, blacksmith, slave owner",1,2,
Badin Bible,Ewen,James,,,,Caroline County,"Caroline County, MD",MD,County,,,,,,1790,Ewen,James,Talbot,Talbot,"Talbot, MD",7,2,3,1,1,0,"I'm considering this Caroline County, MD, not VA because his census address is neighboring Talbot County and Caroline County was formed out of part of Talbot Co. Also, he is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 376. Location is listed as Caroline County.",,,,,,,,1,1,
Badin Bible,Fenwick,Ignatius,,Esq.,,Carrollsburg,Fort Lesley J. McNair,"Washington, DC",Point,,,Carrollsburg is what eventually became the beighborhood surround Fort Lesley J. McNair,,,1790,Fenwick,Ignatious,Prince Georges,Prince Georges,"Prince Georges, MD",28,1,1,1,25,0,"This one is plotted correctly on Mat's map: as Carrollsburg, located in Washington, DC.Until March 1790, Carrollsburg was part of Prince Georges County, MD.",,,,1796,,,,1,25,First fundraiser for Trinity Church in Georgetown
Badin Bible,Fenwick,James,,Captain,,George Town,"3700 O St NW, Washington, DC 20057","Washington, DC",Point,,,"Location approximate. Fenwick owned land ""On the side chosen for the federal city.""",https://books.google.com/books?id=wTnIE1HixpYC&pg=RA1-PR16&dq=%22James+Fenwick%22+georgetown&hl=en&sa=X&ved=0ahUKEwi167jUwYPcAhUKC6wKHVjaBw8Q6AEILzAB#v=onepage&q=%22James%20Fenwick%22%20georgetown&f=false,,,,,,,,,,,,,,2 James Fenwicks in 1790 census,,Sea captain and tobacco trader,,,,,,1,"Either 14 or 25, depending which James Fenwick he is in the census","Ran for Congress in 1808? I'm confused with these three Fenwicks. The Colonial Settlers pages don't match up what's in the census re: dates of death, etc."
Badin Bible,Fenwick,James,,jun.,,"Charles County, MD","5700 Fenwick Rd, Bryans Road, MD 20616",MD,Point,,,"Location approximate. His plantation was called ""Mellonton."" He is burried at this address.",http://www.colonial-settlers-md-va.us/getperson.php?personID=I056776&tree=Tree1,,1790,Fenwick,James,Charles,Charles,"Charles, MD",58,4,2,2,50,0,,http://www.colonial-settlers-md-va.us/getperson.php?personID=I056776&tree=Tree1,1763,St. Mary's County,1823,37,,,1,50,"Brother of Rev. Edward Fenwick, Bishop of Cincinnati"
Badin Bible,Fitzgerald,Richard,,,,Maryland,Maryland,MD,State,,,,,,,,,,,,,,,,,,doesn't appear in 1790 census,,,,,,,,,,
Badin Bible,Ford,John,,,,Maryland,Maryland,MD,State,,,,,,,,,,,,,,,,,,10 John Fords in Maryland 1790 census,,,,,,,,,,
Badin Bible,Galle,Severe,,,,Maryland,Maryland,MD,State,,,,,,,,,,,,,,,,,,doesn't appear in 1790 census,He might actually be a Virginian - https://www.wikitree.com/wiki/Galle-96 and https://books.google.com/books?id=eoEm94TPrXAC&pg=PA279&lpg=PA279&dq=%22Severe+Galle%22&source=bl&ots=rzD3NkzK0e&sig=tjGP2ajQaOaMw4nJMnYXyXzqAZg&hl=en&sa=X&ved=0ahUKEwj8xO2hvIPcAhUENKwKHeSZAu8Q6AEILzAB#v=onepage&q=%22Severe%20Galle%22&f=false,,,,,,,,,
Badin Bible,Gibson,John,Lee,Esq.,,Hartford County,"20 W Courtland St, Bel Air, MD 21014",MD,Point,,,"Location approximate, but exact to the city level. Gibson was a court clerk.",https://books.google.com/books?id=VvwMAAAAYAAJ&pg=PA226&dq=%22John+Lee+Gibson%22&hl=en&sa=X&ved=0ahUKEwjmmLLksYPcAhVFMqwKHb_MD-gQ6AEILjAB#v=onepage&q=%22John%20Lee%20Gibson%22&f=false,,1790,Gibson,John Lee,Harford,Harford,"Harford, MD",44,2,5,5,32,0,"This one has been fixed--it's now plotted in Harford County, MD, not Hartford County, CT. He is mentioned as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 364. In his letter to Carey, Carroll says that Gibson was the ""Clerk of Harford County."" ",,before 1751,St. Mary's County,1792,,,,1,32,Served as a clerk for the circuit court of Hartford County - http://www.colonial-settlers-md-va.us/getperson.php?personID=I021904&tree=Tree1
Badin Bible,Gootee,George,,,,Dorset county,"Dorchester County, MD",MD,County,,,,,,,,,,,,,,,,,,"I believe ""Dorset County"" was an alternative name for Dorchester County, MD. That county was named for the Earl of Dorset. There is a George Goute found in several pre-1790, state censes, living in Dorchester County, MD. See Ancestry.com.",,,,,,,,,,
Badin Bible,Griffith,John,,,,Dorset county,"Worlds End Creek, 5, Lakes, MD",MD,Point,,,"Location approximate, but close to the plantation's location. His father's will mentions the land known as ""Worlds End."" Secondary sources confirm this. ","See Thomas Joseph Peterman, ""Catholics in Colonial Delmarva"" (Devon, PA: Cooke, 1996). P. 308.",,,,,,,,,,,,,,"doesn't appear in 1790 census. I believe ""Dorset County"" was an alternative name for Dorchester County, MD. That county was named for the Earl of Dorset.",,,,,,,,,,
Badin Bible,Hagan,Henry,,,,Port Tobacco,"10225 Conoy Place, Faulkner, MD 20632",MD,Point,,,"Henry Hagan's will refers to his plantation as ""Mount Pleasant."" Maryland Historical Trust has a copy of the eligibility form for Mount Pleasant.",https://mht.maryland.gov/secure/medusa/PDF/Charles/CH-298.pdf,,1790,Hagan,Henry,Charles,Charles,"Charles, MD",56,2,2,4,48,0,,http://www.colonial-settlers-md-va.us/getperson.php?personID=I058302&tree=Tree1,1724,,1796,66,,,1,48,
Badin Bible,Hambleton,Edward,,,,"Charles County, MD","Charles County, MD",MD,County,,,,,,1790,Hambelton,Edward,Patapsco Lower Hundred,Baltimore,,13,3,2,4,4,0,,I'm not convinced the Baltimore Edward is the same person as the one on the list,,,,,,,,,
Badin Bible,Harrison,Araminta,,Miss,,Charles County,"Charles County, MD",MD,County,,,,,,,,,,,,,,,,,,doesn't appear in 1790 census,,,,,,,,,,
Badin Bible,Herbert,William,,,,St. Mary's County,"St. Mary's County, MD",MD,County,,,,,,1790,Herbert,William,Unknown Township,St Marys,,15,1,2,4,7,1,"He is mentioned as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 364.",,,,,,,,1,7,
Badin Bible,Jackson,Catharine,,Mrs.,,"Talbot County, MD","Talbot County, MD",MD,County,,,,,,1790,Jackson,Catharine,Queen Annes,Queen Annes,,16,2,4,5,5,0,SK: census location does not match listed locaton--what's the protocol on that?,,,,,,,,1,5,
Badin Bible,Jeemston [Jameson],Walter,,,,"Cornwallis's neck, MD","Cornwallis Neck, Charles County, MD",MD,Point,38.5728971,-77.202758,,,,1790,Jameson,Walter,,,"Charles, MD",32,1,2,4,25,,doesn't appear in 1790 census ,"The last name is Jameson, according to this document from 1796 re: a Walter Jameson of Cornwallis's Neck in Charles County - http://aomol.msa.maryland.gov/megafile/msa/speccol/sc2900/sc2908/000001/000105/html/am105--215.html; see also: http://www.colonial-settlers-md-va.us/getperson.php?personID=I056516&tree=tree1",1760,,1814,30,,,1,25,His father's will mentions Joseph Boarman (potentially from this list) and a priest (deceased) by the name of Isaac Campbell - http://www.colonial-settlers-md-va.us/getperson.php?personID=I056516&tree=tree1
Badin Bible,Jenifer,Daniel,,Esq.,2 copies,Port Tobacco,"Port Tobacco, MD",MD,City,,,,,,1790,Jenifer,"Daniel, Esqr",Charles,Charles,"Charles, MD",23,0,1,0,22,0,http://www.colonial-settlers-md-va.us/getperson.php?personID=I010088&tree=Tree1,,1727,,1795,63,,,1,22,
Badin Bible,Jennings,Richard,,,,Frederic County,"Emmitsburg, MD",MD,City,,,"Richard Jennings built one of the first homes in Emmitsburg, then called ""Silver Fancy.""",https://books.google.com/books?id=h6w1YPiY0nYC&pg=PA324&dq=%22Richard+Jennings%22+catholic&hl=en&sa=X&ved=0ahUKEwiMu5PVhN7bAhXKwbwKHS2cA-kQ6AEIPjAF#v=onepage&q=%22Richard%20Jennings%22%20catholic&f=false,,1790,Jennings,Richard,Frederick,Frederick,"Frederick, MD",4,1,1,2,0,0,"He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 362.",,,,,,,Merchant,0,,
Badin Bible,Lee,Thomas,Sim,Esq.,,"Needwood, Frederic County","6700 Needwood Rd, Derwood, MD 20855",MD,Point,,,The Lee family occupied the Needwood mansion on the Needwood plantation.,https://msa.maryland.gov/msa/educ/exhibits/lee/html/case4.html,,,,,,,,126,3,,4,119,,"10+ Thomas Lees in 1790 census. This location is plotted in Frederick County, MD. (I think it already is, and no change is needed to Mat's spreadsheet or the map.) ","Governonr of Maryland; worked with the Founding fathers; was a part of the process of working on the Declaration of Independence, Articles of Confederation, and the Constitution.",,,,,,"Planter, statesman",1,119,"John Carroll (they exchanged letters), Trinity Church (Georgetown),many Catholic connections all around, e.g. Rev. Thomas Digges is the uncle of Lee's wife Mary"
Badin Bible,M'Donough,James,Morris [Maurice],,,"Pomfret, Charles county","8855 Chapel Point Rd, Port Tobacco, MD",MD,Point,,,"McDonough's will mentions the lands he is leaving to his relatives, and some of his land runs along the ""Port Tobacco Church"" which is where St. Ignatius Church (Chapel Points) stands and is 8.5 miles south of Pomfret, MD.",http://www.colonial-settlers-md-va.us/getperson.php?personID=I103406&tree=tree1,,,,,,,,,,,,,,http://www.colonial-settlers-md-va.us/getperson.php?personID=I103406&tree=tree1,He is Maurice James McDonough - https://books.google.com/books?id=uGUVT652EjIC&pg=PA113&lpg=PA113&dq=Maurice+James+McDonough&source=bl&ots=YDTXUUdhKp&sig=DYo0faugLloT67zstiZvXn-bpCM&hl=en&sa=X&ved=0ahUKEwiYh5ClheDbAhVBRqwKHYRQATIQ6AEIQjAC#v=onepage&q=Maurice%20James%20McDonough&f=false,1755,,1804,35,,Peddler,,,
Badin Bible,M'Kee,Bernard,,,,Maryland,Maryland,MD,State,,,,,,,,,,,,,,,,,,doesn't appear in 1790 census,,,,,,,,,,
Badin Bible,Mains,Josiah,,,,Hagerstown,"Hagerstown, MD",MD,City,,,,,,,,,,,,,,,,,,doesn't appear in 1790 census,,,,,,,,,,
Badin Bible,Maloney,John,,,,Maryland,Maryland,MD,State,,,,,,,,,,,,,,,,,,doesn't appear in 1790 census,,,,,,,,,,
Badin Bible,Mitchel [Mitchell],Richard,Bennet [Bennett],,,"Pomfret, Charles county","Pomfret, MD",MD,City,,,,,,1790,Mitchel,Richard,Prince Georges,Prince Georges,"Prince Georges, MD",11,5,1,5,0,0,http://www.colonial-settlers-md-va.us/getperson.php?personID=I021002&tree=tree1,,1749,41,1802,,,,,,
Badin Bible,Molyneux,Robert,,Rev.,2 copies,Port Tobacco,"8855 Chapel Point Rd, Port Tobacco, MD",MD,Point,,,St. Thomas Manor,https://mht.maryland.gov/secure/medusa/PDF/NR_PDFs/NR-1026.pdf,,1790,Molyneaux,Revd,Charles,Charles,"Charles, MD",70,0,6,0,64,0,,,1738,"Formby, Lancashire, England",1808,52,1771,Jesuit priest; president of Georgetown,1,64,St. Thomas Manor; second and fifth president of Georgetown University
Badin Bible,Montgomery,,,,,Charles County,"Charles County, MD",MD,County,,,,,,,,,,,,,,,,,,not enough information,,,,,,,,,,
Badin Bible,Neale,Francis,,Rev.,2 copies,[unknown],"8855 Chapel Point Rd, Port Tobacco, MD",MD,Point,,,St. Thomas Manor,https://mht.maryland.gov/secure/medusa/PDF/NR_PDFs/NR-1026.pdf,,,,,,,,,,,,,,"Rev. Francis Neale lived at St. Thomas Manor, near Port Tobacco, until 1792, when he was assigned to Georgetown. See William W. Warner, At Peace with All Their Neighbors: Catholics and Catholicism in the National Capital 1787-1860 (1994), 20. He is also listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 366.",A lot of primary documents on him here: https://books.google.com/books?id=JO3PAAAAMAAJ&pg=PA150&dq=%22baker+brooke%22&hl=en&sa=X&ved=0ahUKEwi7l8PepcTbAhWPGDQIHUG3A3wQ6AEIRjAF#v=onepage&q=%22baker%20brooke%22&f=false,1756,"Charles County, MD",1838,34,,Priest,1,,"St. Thomas Manor - see ""slave house"" map here - https://slaveryarchive.georgetown.edu/items/show/149; Georgetown President brother of Rev. Charles Neale"
Badin Bible,Neale,Leonard,,Rev.,2 copies,Port Tobacco,"8855 Chapel Point Rd, Port Tobacco, MD",MD,Point,,,St. Thomas Manor,https://mht.maryland.gov/secure/medusa/PDF/NR_PDFs/NR-1026.pdf,,,,,,,,,,,,,,"doesn't appear in 1790 census. He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 366.",http://www.colonial-settlers-md-va.us/getperson.php?personID=I017412&tree=Tree1,1747,"Charles County, MD",1817,43,,"Priest, president of Georgetown",1,,St. Thomas Manor; Georgetown; director of affairs as Vicar-General of the Diocese of Baltimore; Bishop of Baltimore
Badin Bible,O'Neil,Bernard,,Esq.,,Georgetown,"3700 O St NW, Washington, DC 20057","Washington, DC",Point,,,Location approximate. O'Neil had seems to have had quite a bit of land around what would become Georgetown.,http://www.colonial-settlers-md-va.us/getperson.php?personID=I021207&tree=tree1,,,,,,,,,,,,,,doesn't appear in 1790 census,,,,1815,,,,,,
Badin Bible,Pettit,Peter,,,,Milestown,"Milestown, MD",MD,City,,,,,,1790,Pettit,Peter,South Hempstead,Queens,"Queens, NY",6,2,1,3,0,0,The census Peter Pettit is not this Peter Pettit.,,,,,,,,,,
Badin Bible,Pile,Henry,,Rev.,2 copies,"Newport, MD","11555 St Marys Church Rd, Charlotte Hall, MD 20622",MD,Point,,,"Rev. Henry Pile was stationed at the Newport Mission in 1784 or 1785 and served as pastor there until 1813. According to the Maryland Historical trust, the site of the mission was where St. Mary's Catholic Church is located now.",https://mht.maryland.gov/secure/medusa/PDF/Charles/CH-786.pdf,,,,,,,,,,,,,,"He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 363. On p 360 Carroll identifies Pile's location as ""Newport, Charles County.""",https://books.google.com/books?id=hmfXAAAAMAAJ&pg=PA348&lpg=PA348&dq=%22rev+Henry+Pile%22&source=bl&ots=23O0ZbJfqJ&sig=Jt1qCcK1Tk1psJUk3-QFxTBVO-k&hl=en&sa=X&ved=0ahUKEwiL863hq-DbAhXmhVQKHRaWBo0Q6AEIKTAA#v=onepage&q=%22rev%20Henry%20Pile%22&f=false,,,1813,,,Priest,,,Newport mission since 1785; St. Thomas Manor (where he died)
Badin Bible,Pindar,James,,,,Queen's town,"Queenstown, MD",MD,City,,,,,,1790,Pinder,James,Queen Annes,Queen Annes,"Queen Annes, MD",10,1,4,2,3,0,,,,,,,,,1,3,
Badin Bible,Plowden,Edmond [Edmund],,Esq.,,St. Mary's County,"45270 Daniels Rd, Hollywood, MD 20636",MD,Point,,,"Plowden's father mentions the name of his manor (""Resurrection Manor"") in his will and leaves the manor and the land specifically to Edmund.",http://www.colonial-settlers-md-va.us/getperson.php?personID=I011876&tree=tree1,,1790,Plowden,Edmund,,,"St Marys, MD",72,2,2,4,64,,,,1751,,1804,39,,,1,64,
Badin Bible,Plunket [Plunkett],Robert,,Rev.,,[unknown],"16501 Annapolis Rd, Bowie, MD 20715",MD,Point,,,"When Rev. Robert Plunkett sailed to the United States in 1790 along with Rev. Charles Neal, he was posted at the White Marsh plantation. Sacred Heart Church now stands where the White Marsh chapel used to be.",https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/020400/020400/html/020400sources.html,,,,,,,,,,,,,,"I found this location--White Marsh, MD--from Robert Emmett Curran, A History of Georgetown University, vol I (Washington, DC, 2010): 34.",The last name is Plunkett in multiple sources,1752,"alumnus of English College, Douai",1815,38,1790,"Jesuit priest, president of Georgetown",,,First president of Georgetown; White Marsh Plantation
Badin Bible,Postly,John,,Colonel,,"Worcester county, MD","Worcester County, MD",MD,Point,38.365973,-75.20616,Location approximate. The Calvin B. Taylor House Museum locates John Postly's land between the towns of Berlin and St. Martin.,https://taylorhousemuseum.org/history/john-postly/,,1790,Postly,John,,,"Boquetenorton Hundred [township], Worcester County, MD",,,,,17,,"SK: I found different census numbers - 1 male, 4 females, 14 slaves","Also: he might actually be a Presbyterian, at least according to this: https://taylorhousemuseum.org/history/john-postly/",,,1815,,,Planter,1,14,His will was supposed to _benefitt of and to be applied toward the necessities or Education of poor necessitous young people in the bounds of Buckingham and Worcester Hundreds in Worcester County - http://aomol.msa.maryland.gov/000001/000214/html/am214--259.html
Badin Bible,Pye,Charles,,,,"Cornwallis's Neck, Charles County","Cornwallis Neck, Charles County, MD",MD,Point,38.5728971,-77.202758,,,,1790,Pye,Charles,Charles,Charles,"Charles, MD",33,3,4,3,23,0,,,1760,"Charles County, MD",1809,30,,,1,23,"In 1800, Chalres Pye and Sarah Pye donate land to John Mondesir, pastor of the Conwallis's Neck congregation to build a church there - http://www.colonial-settlers-md-va.us/getperson.php?personID=I020841&tree=tree1"
Badin Bible,Queen,Richard,,,,Eastern Branch,"Queens Chapel Rd NE, Washington, DC 20018",MD,Point,,,"The ""Records of Columbia Historical Society"" places Queen's Chapel in Richard Queen's estate, ""situated amid the wooden hills of Langdon."" See John B. Larner, ed., ""Records of the Columbia Historical Society,"" Vol. 23 (Washington: The Society, 1920), p. 30.",https://archive.org/details/recordscolumbia23unkngoog,,1790,Queen,Richard,Prince Georges,Prince Georges,"Prince Georges, MD",26,0,1,4,21,0,"He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 366. His location is ""Eastern branch of the Potowmack."" This could place him in modern-day Washington, DC, but I've decided to leave him located in the county, per the census.",,1725,"Charles County, MD",1794,,,,1,21,"His will leaves to the ""Right Rev. John Carroll --Bishop of Baltimore -the remaining members of the Catholic Church to have 2 acres of land where the Catholic chapel now sits being a part of a tract of land called ""The Inclosure"" and testator's intention is that it be used for the religious purposes of the Catholic Church and congregation and executors are to measure and bound the 2 acres of land w/in 12 months after testator's decease and the lands to exclude as much as possible all public roads"" - http://www.colonial-settlers-md-va.us/getperson.php?personID=I034879&tree=Tree1"
Badin Bible,Richardson,William,,Colonel,,Caroline County,"Gilpin Point Rd, Preston, MD 21655",MD,Point,,,"The home of Revolutionary War soldier Col. William Richardson was known as ""glipin's point.""","https://mht.maryland.gov/secure/medusa/PDF/Caroline/CAR-7.pdf, https://archive.org/stream/marylandscolonia00earlrich#page/168/mode/2up/search/William+Richardson",,1790,Richardson,William,Caroline,Caroline,"Caroline, MD",,,,,,,no data,,1735,,1825,55,,,1,"unclear how many, but he lived on a big plantation","Member of the MD assembly 1773076, introduced bill forming Caroline County in 1774; fought at Harlem Heights in 1776; part of the Constitutional convention in 1778"
Badin Bible,Riley,Johnson,,,,Prince George's County,"Prince George's County, MD",MD,County,,,,,,1790,Riley,Johnson Michael,Prince Georges,Prince Georges,"Prince Georges, MD",26,4,3,6,13,0,"He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 363. ",,,,,,,,1,13,
Badin Bible,Rozier [Rozer],Henry,,Esq.,,"Nottley Hall, Patowmack","Prince George's County, MD",MD,Point,38.7753918,-77.0185871,,"https://maryland.hometownlocator.com/maps/feature-map,ftc,2,fid,597830,n,notley%20hall.cfm",,1790,Rozer,Henry,,,"Prince Georges, MD",127,,2,5,120,,"Add this one to the Prince Georges, MD entry. See also his will, in which he's referred to as Henry Rozer of Nutley Hall, at http://www.colonial-settlers-md-va.us/getperson.php?personID=I016090&tree=tree1. See also: He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 368. He's listed as Henry Rozer, Esqr., Notley Hall, Potowmack.",,,,,,,,1,120,
Badin Bible,Semmes,Joseph,,,,Georgetown,"3700 O St NW, Washington, DC 20057","Washington, DC",Point,,,"Location approximate. Semmes was the owner of the Green Tree Tavern in Georgetown. See William W. Warner, ""At Peace With All Their Neighbors : Catholics and Catholicism in the National Capital, 1787-1860"" (Washington, DC: Georgetown University Press, 1994), p. 15. ",,,,,,,,,,,,,,,"inconclusive; he appears in""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Volume 9 (1898), p. 362.",,,,,,,Owner of the Georgetown Green Tree Tavern - https://books.google.com/books?id=La5qFU947j4C&pg=PA71&lpg=PA71&dq=Georgetown+Trinity+Church+%22joseph+semmes%22&source=bl&ots=XBOu9hIvdP&sig=SJClzWDn1gMPdTxUp9wZVi7UdMc&hl=en&sa=X&ved=0ahUKEwisyqKj3fTbAhVOYK0KHXc9CLsQ6AEINDAC#v=onepage&q=joseph%20semmes&f=false,1,,One of the first Georgetown students; prominent member of the Georgetown Trinity Church
Badin Bible,Seth,Charles,,,,Queen Anne's County,"Bloomingdale Road & Ocean Gateway (US 50), Queenstown, MD 21658",MD,Point,,,"Edward B. Carley (""The Origins and History of St. Peter's Church, Queenstown, Maryland, 1637-1976"") places Charles Seth at Island Creek, and another source confirms this location with the further specification of Mount Mills. Mount Mills used to be where Bloomingdale is now.","https://www.genealogy.com/forum/surnames/topics/seth/136/, https://www.qac.org/201/Historic-Houses",,1790,Seth,Charles,Queen Annes,Queen Annes,"Queen Annes, MD",8,1,2,3,2,0,,,,,,,,,1,2,
Badin Bible,Sewall,Nicholas,[Lewis],Jun.,,"Cedar point, Patuxent","22145 Arnold Cir, Patuxent River, MD 20670",MD,Point,,,"Nicholas Lewis Sewall was known as ""Nicholas Lewis of Cedar Point."" The St. Nicholas Catholic Church at Cedar Point was named in honor of Sewall's father Nicholas Sewall, owner of the Mattapany plantation.",http://www.colonial-settlers-md-va.us/getperson.php?personID=I061984&tree=tree1,,1790,Sewall,Nicholas L.,,Unknown Township,"St Marys, MD",43,,2,2,39,,"2 Nicholas Sewalls in 1790 census Marylan (SK: he's the one with the L. for middle name). A Nicholas Sewall, Jr. appears in St Mary's County, MD in 1790, on a voter list (which is the county in which Cedar Point is located). He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 363. His location is listed as appears in the published list.",,,,,,,,1,39,Brother of Charles Sewall. http://www.colonial-settlers-md-va.us/getperson.php?personID=I017846&tree=Tree1
Badin Bible,Sheets,Conrad,,,,Hagerstown,"Hagerstown, MD",MD,City,,,,,,1790,Sheets,Conrod,Dauphin,Dauphin,"Dauphin, PA",7,1,1,5,0,0,SK:Daughin connection with Joseph Snyder?,,,,,,,,,,
Badin Bible,Spalding,Basil,,,,"Pomfret, Charles county","9205 Marshall Corner Road, Pomfret, MD",MD,Point,,,"Basil Spalding inherited the ""Green Inheritance"" plantation from his grandfather John Spalding. Basil built ""Pleasant Hill"" home in 1761.",https://mht.maryland.gov/secure/medusa/PDF/Charles/CH-78.pdf,,1790,Spalding,Basil,Charles,Charles,Charles,20,0,2,4,14,0,,,,,,,,,1,14,Father of John Spalding? http://www.colonial-settlers-md-va.us/getperson.php?personID=I057854&tree=Tree1
Badin Bible,Spalding,John,,,,Prince George's county,"Prince George's County, MD",MD,County,,,,,,1790,Spalding,John,Prince Georges,Prince Georges,"Prince Georges, MD",15,1,1,4,9,0,Change this plot point from George's County to Prince George's County. ,,1736,"Charles County, MD",1820,54,,,1,9,Son of Basil Spalding? http://www.colonial-settlers-md-va.us/getperson.php?personID=I021132&tree=Tree1
