SubscriberSource,SubscriberLastName,SubscriberFirstName,SubcriberMiddleName,SubscriberTitle,SubscriberNoCopies,SubscriberLocation,PlottedLocation,State,LocationConfidenceLevel,PlottedLocation_Latitude,PlottedLocation_Longtitude,PlottedLocation_Note,PlottedLocation_Link,Preceeding.Location,CensusDate,CensusLastName,CensusFirstName,CensusAddress,CensusCity,CensusWard..County,CensusNumberOfHouseholdMembers,Under.16,Over16,Females,Slaves,All.other.Free.Persons,Notes,SK_Notes,YearBorn,Place.Born,YearDied,Age.in.1790,YearArrivedinUS,Occupation,SlaveOwner,NumberSlaves,Network,lon,lat,geoAddress,geoNote
Badin Bible,Digges,Thomas,,Rev.,,Prince George's County,"Melwood, Prince George's County, MD",MD,Point,NA,NA,"A letter from George Washington to Thomas Digges is addressed to ""The Revd Mr Digges Mellwood Honored by Mr. Powell,"" thereby placing him in Melwood, MD.",https://founders.archives.gov/documents/Washington/04-05-02-0377,,NA,,,,,,NA,NA,NA,NA,NA,NA,"doesn't appear in 1790 census. He is mentioned as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 364.",,1711,,1805,NA,NA,,NA,,George Washington writes him a letter asking to host a Mr. Powell - https://founders.archives.gov/documents/Washington/04-05-02-0377. Digges serves as witness to Edward Queen's petition for freedom from John Ashton in 1791: https://slaveryarchive.georgetown.edu/items/show/35. He is the son of William Digges (of Prince George's County) and the brother of Ignatius Digges and is mentioned in their wills: http://www.colonial-settlers-md-va.us/getperson.php?personID=I012087&tree=Tree1. He is also the uncle of Governor of Maryland's wife Mary (Digges) Lee.,-76.848868,38.8120491,"5606 dower house rd, upper marlboro, md 20772, usa",
,Dogne [Doyne],Joseph,,Rev.,14 copies,"Port Tobacco, MD","8855 Chapel Point Rd, Port Tobacco, MD",MD,Point,NA,NA,St. Thomas Manor,https://mht.maryland.gov/secure/medusa/PDF/NR_PDFs/NR-1026.pdf,,NA,,,,,,NA,NA,NA,NA,NA,NA,"He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 366. But he isn't listed in Carey's published subscriber list.","The last name is ""Doyne"" to ""Dogne."" The first was a misspelling in Carroll's list; it is spelled correctly in one of Carey's letters. ",,,1803,NA,NA,Jesuit priest,NA,,"Georgetown University, St. Thomas Manor, Francis Neale",-77.0237239,38.4654888,"8855 chapel point rd, port tobacco, md 20677, usa",
Badin Bible,Doyle,Alexander,,,,George Town,"3700 O St NW, Washington, DC 20057","Washington, DC",Point,NA,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,"doesn't appear in 1790 census; he appears in""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Volume 9 (1898), p. 362. He is listed as a merchant.","Last name changed from ""Doyl"" to ""Doyle."" The first was a misspelling.",,,NA,NA,NA,Merchant,NA,,"Georgetown, trustee of Holy Trinity Church (he erected the church building; in exchange he wanted his sons to have free education at Georgetown)",-77.0716037,38.9076848,"3700 o st nw, washington, dc 20057, usa",
Badin Bible,Doyle,Matthew,,,,Talbot County,"Talbot County, MD",MD,County,NA,NA,,,,1790,Doil,Matthew,Talbot,Talbot,"Talbot, Maryland",9,2,3,4,0,0,,,,,NA,NA,NA,,0,,,-76.1319953,38.7803973,"talbot county, md, usa",
Badin Bible,Doyne,Joseph,,Rev.,,"St. Thomas's manor, Port Tobacco","8855 Chapel Point Rd, Port Tobacco, MD",MD,Point,NA,NA,St. Thomas Manor,https://mht.maryland.gov/secure/medusa/PDF/NR_PDFs/NR-1026.pdf,,1790,Doyne,Joseph,Charles,Charles,"Charles, MD",1,0,1,0,0,0,"I changed this location, however, it was already correctly plotted on the map.",Another St. Thomas Manor priest,,,NA,NA,NA,Jesuit priest,NA,,,-77.0237239,38.4654888,"8855 chapel point rd, port tobacco, md 20677, usa",
Badin Bible,Edelen,John,,,,"Charles County, MD","Charles County, MD",MD,County,NA,NA,Check here before doing other searches - https://books.google.com/books?id=8_WbVwd_HkUC&pg=PA191&lpg=PA191&dq=%22john+spalding%22+plantation+prince+george%27s+county&source=bl&ots=nEGSAnLPeK&sig=d3KtM_HlcZwiSaRVANEGCOpUpOA&hl=en&sa=X&ved=0ahUKEwiiub_qpvTbAhVS4VQKHaOTDbMQ6AEIRzAG#v=onepage&q&f=false,,,1790,Edelen,John,Charles,Charles,"Charles, MD",26,6,2,3,15,0,,,,,NA,NA,NA,,1,15,,-77.1024902,38.5221781,"charles county, md, usa",
Badin Bible,Elder,Arnold,,,,Frederic County,"Emmitsburg, MD",MD,City,NA,NA,Connected to the Elder family in Emmitsburg.,https://books.google.com/books?id=abs7AQAAMAAJ&pg=PA88&dq=%22arnold+elder%22+plantation&hl=en&sa=X&ved=0ahUKEwjlm5-_6NPbAhVM4VQKHZ79AtwQ6AEIKTAA#v=onepage&q=%22arnold%20elder%22%20plantation&f=false,,1790,Elder,Arnold,Frederick,Frederick,"Frederick, MD",10,0,1,2,7,0,"Arnold, Charles, Guy, William, and Richard Elder are all sons of the same man, William Elder (1709-1777), who died in Frederick County. He had two wives. See his page at http://www.colonial-settlers-md-va.us/getperson.php?personID=I017340&tree=tree1.  Need to double check sources used in this source. See Sister Mary Louise Donnelly, William Elder: Ancestors and Descendants (1986), p 21-22. He was born 1745 and died in 1812. He lived in Frederick Co all his life. He was a farmer and a slave owner.",,1745,,1812,45,NA,"Farmer, slave owner",1,7,Mount St. Mary's Seminary,-77.3269307,39.7045417,"emmitsburg, md 21727, usa",
Badin Bible,Elder,Charles,,,,[unknown],"Frederick County, MD",MD,County,NA,NA,,,"Frederick County, MD",1790,Elder,Charles,Frederick,Frederick,"Frederick, MD",18,2,6,3,7,0,"See Sister Mary Louise Donnelly, William Elder: Ancestors and Descendants (1986), p 15. He ws born 1730 and died in 1804. He lived in Frederick Co from around the age of 5 until he died. He was a farmer and a slave owner.",,1730,,1804,60,NA,"Farmer, slave owner",1,7,,-77.4701972,39.3844507,"frederick county, md, usa",
Badin Bible,Elder,Guy,,,,[unknown],"Emmitsburg, MD",MD,City,NA,NA,Burried with the Elder family in Emmitsburg,https://books.google.com/books?id=IbHPAAAAMAAJ&pg=PA61&dq=%22guy+elder%22+catholic&hl=en&sa=X&ved=0ahUKEwiB0v6o7NPbAhUIxVQKHSpwB9sQ6AEIKTAA#v=onepage&q=%22guy%20elder%22%20catholic&f=false,,1790,Elder,Guy,Frederick,Frederick,"Frederick, MD",16,3,2,9,2,0,"See Sister Mary Louise Donnelly, William Elder: Ancestors and Descendants (1986), p 16. He ws born 1731 and died in 1805. He lived in Frederick Co from around the age of 4 until he died. He was a farmer and a slave owner.",,1731,,1806,59,NA,"Farmer, slave owner",1,2,,-77.3269307,39.7045417,"emmitsburg, md 21727, usa",
Badin Bible,Elder,Richard,,,,[unknown],"Emmitsburg, MD",MD,City,NA,NA,Brother of William Elder,,,NA,,,,,,NA,NA,NA,NA,NA,NA,"doesn't appear in 1790 census.  See Sister Mary Louise Donnelly, William Elder: Ancestors and Descendants (1986), p 19. He ws born 1734 and died on May 16, 1790. He lived in Frederick Co from an infant until he died. He was a farmer. His widow, Phoebe Elder, appeared in the 1790 census (confirmed).",,1734,,1790,56,NA,Farmer,NA,,Brother of William Elder,-77.3269307,39.7045417,"emmitsburg, md 21727, usa",
Badin Bible,Elder,William,,,,[unknown],"Elder Cemetery, Emmitsburg, MD 21727",MD,Point,NA,NA,Elder's father's plantation included what is now Mount Saint Mary's College and Seminary. The adjacent plantation and cemetery were Elder family propertly.,https://www.findagrave.com/memorial/13594815/william-elder,,1790,Elder,William,Frederick,Frederick,"Frederick, MD",16,3,4,7,2,0,"See Sister Mary Louise Donnelly, William Elder: Ancestors and Descendants (1986), p 14. He ws born 1729 and died by 1804. He lived in Frederick Co from near the age of 7 until he died. He was a farmer and blacksmith, and a slave owner.",,1729,,1804,61,NA,"Farmer, blacksmith, slave owner",1,2,,-77.3512564,39.6728214,"emmitsburg, md 21727, usa",
Badin Bible,Ewen,James,,,,Caroline County,"Caroline County, MD",MD,County,NA,NA,,,,1790,Ewen,James,Talbot,Talbot,"Talbot, MD",7,2,3,1,1,0,"I'm considering this Caroline County, MD, not VA because his census address is neighboring Talbot County and Caroline County was formed out of part of Talbot Co. Also, he is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 376. Location is listed as Caroline County.",,,,NA,NA,NA,,1,1,,-75.8533954,38.9105018,"caroline county, md, usa",
Badin Bible,Fenwick,Ignatius,,Esq.,,Carrollsburg,Fort Lesley J. McNair,"Washington, DC",Point,NA,NA,Carrollsburg is what eventually became the beighborhood surround Fort Lesley J. McNair,,,1790,Fenwick,Ignatious,Prince Georges,Prince Georges,"Prince Georges, MD",28,1,1,1,25,0,"This one is plotted correctly on Mat's map: as Carrollsburg, located in Washington, DC.Until March 1790, Carrollsburg was part of Prince Georges County, MD.",,,,1796,NA,NA,,1,25,First fundraiser for Trinity Church in Georgetown,-77.014524,38.8661266,"62, 300 5th ave, washington, dc 20319, usa",
Badin Bible,Fenwick,James,,Captain,,George Town,"3700 O St NW, Washington, DC 20057","Washington, DC",Point,NA,NA,"Location approximate. Fenwick owned land ""On the side chosen for the federal city.""",https://books.google.com/books?id=wTnIE1HixpYC&pg=RA1-PR16&dq=%22James+Fenwick%22+georgetown&hl=en&sa=X&ved=0ahUKEwi167jUwYPcAhUKC6wKHVjaBw8Q6AEILzAB#v=onepage&q=%22James%20Fenwick%22%20georgetown&f=false,,NA,,,,,,NA,NA,NA,NA,NA,NA,2 James Fenwicks in 1790 census,,Sea captain and tobacco trader,,NA,NA,NA,,1,"Either 14 or 25, depending which James Fenwick he is in the census","Ran for Congress in 1808? I'm confused with these three Fenwicks. The Colonial Settlers pages don't match up what's in the census re: dates of death, etc.",-77.0716037,38.9076848,"3700 o st nw, washington, dc 20057, usa",
Badin Bible,Fenwick,James,,jun.,,"Charles County, MD","5700 Fenwick Rd, Bryans Road, MD 20616",MD,Point,NA,NA,"Location approximate. His plantation was called ""Mellonton."" He is burried at this address.",http://www.colonial-settlers-md-va.us/getperson.php?personID=I056776&tree=Tree1,,1790,Fenwick,James,Charles,Charles,"Charles, MD",58,4,2,2,50,0,,http://www.colonial-settlers-md-va.us/getperson.php?personID=I056776&tree=Tree1,1763,St. Mary's County,1823,37,NA,,1,50,"Brother of Rev. Edward Fenwick, Bishop of Cincinnati",-77.1085591,38.6382555,"5700 fenwick rd, bryans road, md 20616, usa",
Badin Bible,Fitzgerald,Richard,,,,Maryland,Maryland,MD,State,NA,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,doesn't appear in 1790 census,,,,NA,NA,NA,,NA,,,-76.6412712,39.0457549,"maryland, usa",
Badin Bible,Ford,John,,,,Maryland,Maryland,MD,State,NA,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,10 John Fords in Maryland 1790 census,,,,NA,NA,NA,,NA,,,-76.6412712,39.0457549,"maryland, usa",
Badin Bible,Galle,Severe,,,,Maryland,Maryland,MD,State,NA,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,doesn't appear in 1790 census,He might actually be a Virginian - https://www.wikitree.com/wiki/Galle-96 and https://books.google.com/books?id=eoEm94TPrXAC&pg=PA279&lpg=PA279&dq=%22Severe+Galle%22&source=bl&ots=rzD3NkzK0e&sig=tjGP2ajQaOaMw4nJMnYXyXzqAZg&hl=en&sa=X&ved=0ahUKEwj8xO2hvIPcAhUENKwKHeSZAu8Q6AEILzAB#v=onepage&q=%22Severe%20Galle%22&f=false,,,NA,NA,NA,,NA,,,-76.6412712,39.0457549,"maryland, usa",
Badin Bible,Gibson,John,Lee,Esq.,,Hartford County,"20 W Courtland St, Bel Air, MD 21014",MD,Point,NA,NA,"Location approximate, but exact to the city level. Gibson was a court clerk.",https://books.google.com/books?id=VvwMAAAAYAAJ&pg=PA226&dq=%22John+Lee+Gibson%22&hl=en&sa=X&ved=0ahUKEwjmmLLksYPcAhVFMqwKHb_MD-gQ6AEILjAB#v=onepage&q=%22John%20Lee%20Gibson%22&f=false,,1790,Gibson,John Lee,Harford,Harford,"Harford, MD",44,2,5,5,32,0,"This one has been fixed--it's now plotted in Harford County, MD, not Hartford County, CT. He is mentioned as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 364. In his letter to Carey, Carroll says that Gibson was the ""Clerk of Harford County."" ",,before 1751,St. Mary's County,1792,NA,NA,,1,32,Served as a clerk for the circuit court of Hartford County - http://www.colonial-settlers-md-va.us/getperson.php?personID=I021904&tree=Tree1,-76.3493022,39.5353556,"20 w courtland st, bel air, md 21014, usa",
Badin Bible,Gootee,George,,,,Dorset county,"Dorchester County, MD",MD,County,NA,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,"I believe ""Dorset County"" was an alternative name for Dorchester County, MD. That county was named for the Earl of Dorset. There is a George Goute found in several pre-1790, state censes, living in Dorchester County, MD. See Ancestry.com.",,,,NA,NA,NA,,NA,,,-76.1783739,38.4152819,"dorchester county, md, usa",
Badin Bible,Griffith,John,,,,Dorset county,"Worlds End Creek, 5, Lakes, MD",MD,Point,NA,NA,"Location approximate, but close to the plantation's location. His father's will mentions the land known as ""Worlds End."" Secondary sources confirm this. ","See Thomas Joseph Peterman, ""Catholics in Colonial Delmarva"" (Devon, PA: Cooke, 1996). P. 308.",,NA,,,,,,NA,NA,NA,NA,NA,NA,"doesn't appear in 1790 census. I believe ""Dorset County"" was an alternative name for Dorchester County, MD. That county was named for the Earl of Dorset.",,,,NA,NA,NA,,NA,,,-76.1609827,38.3593045,"worlds end creek, 5, lakes, md, usa",
Badin Bible,Hagan,Henry,,,,Port Tobacco,"10225 Conoy Place, Faulkner, MD 20632",MD,Point,NA,NA,"Henry Hagan's will refers to his plantation as ""Mount Pleasant."" Maryland Historical Trust has a copy of the eligibility form for Mount Pleasant.",https://mht.maryland.gov/secure/medusa/PDF/Charles/CH-298.pdf,,1790,Hagan,Henry,Charles,Charles,"Charles, MD",56,2,2,4,48,0,,http://www.colonial-settlers-md-va.us/getperson.php?personID=I058302&tree=Tree1,1724,,1796,66,NA,,1,48,,-76.957175,38.425476,"10225 conoy pl, faulkner, md 20632, usa",
Badin Bible,Hambleton,Edward,,,,"Charles County, MD","Charles County, MD",MD,County,NA,NA,,,,1790,Hambelton,Edward,Patapsco Lower Hundred,Baltimore,,13,3,2,4,4,0,,I'm not convinced the Baltimore Edward is the same person as the one on the list,,,NA,NA,NA,,NA,,,-77.1024902,38.5221781,"charles county, md, usa",
Badin Bible,Harrison,Araminta,,Miss,,Charles County,"Charles County, MD",MD,County,NA,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,doesn't appear in 1790 census,,,,NA,NA,NA,,NA,,,-77.1024902,38.5221781,"charles county, md, usa",
Badin Bible,Herbert,William,,,,St. Mary's County,"St. Mary's County, MD",MD,County,NA,NA,,,,1790,Herbert,William,Unknown Township,St Marys,,15,1,2,4,7,1,"He is mentioned as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 364.",,,,NA,NA,NA,,1,7,,-76.3637285,38.1060259,"st mary's county, md, usa",
Badin Bible,Jackson,Catharine,,Mrs.,,"Talbot County, MD","Talbot County, MD",MD,County,NA,NA,,,,1790,Jackson,Catharine,Queen Annes,Queen Annes,,16,2,4,5,5,0,SK: census location does not match listed locaton--what's the protocol on that?,,,,NA,NA,NA,,1,5,,-76.1319953,38.7803973,"talbot county, md, usa",
Badin Bible,Jeemston [Jameson],Walter,,,,"Cornwallis's neck, MD","Cornwallis Neck, Charles County, MD",MD,Point,38.5728971,-77.202758,,,,1790,Jameson,Walter,,,"Charles, MD",32,1,2,4,25,NA,doesn't appear in 1790 census ,"The last name is Jameson, according to this document from 1796 re: a Walter Jameson of Cornwallis's Neck in Charles County - http://aomol.msa.maryland.gov/megafile/msa/speccol/sc2900/sc2908/000001/000105/html/am105--215.html; see also: http://www.colonial-settlers-md-va.us/getperson.php?personID=I056516&tree=tree1",1760,,1814,30,NA,,1,25,His father's will mentions Joseph Boarman (potentially from this list) and a priest (deceased) by the name of Isaac Campbell - http://www.colonial-settlers-md-va.us/getperson.php?personID=I056516&tree=tree1,-77.202758,38.5728971,"cornwallis neck, 7, pomonkey, md 20640, usa",location fixed manually
Badin Bible,Jenifer,Daniel,,Esq.,2 copies,Port Tobacco,"Port Tobacco, MD",MD,City,NA,NA,,,,1790,Jenifer,"Daniel, Esqr",Charles,Charles,"Charles, MD",23,0,1,0,22,0,http://www.colonial-settlers-md-va.us/getperson.php?personID=I010088&tree=Tree1,,1727,,1795,63,NA,,1,22,,-77.018833,38.5113836,"port tobacco, md 20677, usa",
Badin Bible,Jennings,Richard,,,,Frederic County,"Emmitsburg, MD",MD,City,NA,NA,"Richard Jennings built one of the first homes in Emmitsburg, then called ""Silver Fancy.""",https://books.google.com/books?id=h6w1YPiY0nYC&pg=PA324&dq=%22Richard+Jennings%22+catholic&hl=en&sa=X&ved=0ahUKEwiMu5PVhN7bAhXKwbwKHS2cA-kQ6AEIPjAF#v=onepage&q=%22Richard%20Jennings%22%20catholic&f=false,,1790,Jennings,Richard,Frederick,Frederick,"Frederick, MD",4,1,1,2,0,0,"He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 362.",,,,NA,NA,NA,Merchant,0,,,-77.3269307,39.7045417,"emmitsburg, md 21727, usa",
Badin Bible,Lee,Thomas,Sim,Esq.,,"Needwood, Frederic County","6700 Needwood Rd, Derwood, MD 20855",MD,Point,NA,NA,The Lee family occupied the Needwood mansion on the Needwood plantation.,https://msa.maryland.gov/msa/educ/exhibits/lee/html/case4.html,,NA,,,,,,126,3,NA,4,119,NA,"10+ Thomas Lees in 1790 census. This location is plotted in Frederick County, MD. (I think it already is, and no change is needed to Mat's spreadsheet or the map.) ","Governonr of Maryland; worked with the Founding fathers; was a part of the process of working on the Declaration of Independence, Articles of Confederation, and the Constitution.",,,NA,NA,NA,"Planter, statesman",1,119,"John Carroll (they exchanged letters), Trinity Church (Georgetown),many Catholic connections all around, e.g. Rev. Thomas Digges is the uncle of Lee's wife Mary",-77.1345119,39.1220682,"6700 needwood rd, derwood, md 20855, usa",
Badin Bible,M'Donough,James,Morris [Maurice],,,"Pomfret, Charles county","8855 Chapel Point Rd, Port Tobacco, MD",MD,Point,NA,NA,"McDonough's will mentions the lands he is leaving to his relatives, and some of his land runs along the ""Port Tobacco Church"" which is where St. Ignatius Church (Chapel Points) stands and is 8.5 miles south of Pomfret, MD.",http://www.colonial-settlers-md-va.us/getperson.php?personID=I103406&tree=tree1,,NA,,,,,,NA,NA,NA,NA,NA,NA,http://www.colonial-settlers-md-va.us/getperson.php?personID=I103406&tree=tree1,He is Maurice James McDonough - https://books.google.com/books?id=uGUVT652EjIC&pg=PA113&lpg=PA113&dq=Maurice+James+McDonough&source=bl&ots=YDTXUUdhKp&sig=DYo0faugLloT67zstiZvXn-bpCM&hl=en&sa=X&ved=0ahUKEwiYh5ClheDbAhVBRqwKHYRQATIQ6AEIQjAC#v=onepage&q=Maurice%20James%20McDonough&f=false,1755,,1804,35,NA,Peddler,NA,,,-77.0237239,38.4654888,"8855 chapel point rd, port tobacco, md 20677, usa",
Badin Bible,M'Kee,Bernard,,,,Maryland,Maryland,MD,State,NA,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,doesn't appear in 1790 census,,,,NA,NA,NA,,NA,,,-76.6412712,39.0457549,"maryland, usa",
Badin Bible,Mains,Josiah,,,,Hagerstown,"Hagerstown, MD",MD,City,NA,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,doesn't appear in 1790 census,,,,NA,NA,NA,,NA,,,-77.7199932,39.6417629,"hagerstown, md, usa",
Badin Bible,Maloney,John,,,,Maryland,Maryland,MD,State,NA,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,doesn't appear in 1790 census,,,,NA,NA,NA,,NA,,,-76.6412712,39.0457549,"maryland, usa",
Badin Bible,Mitchel [Mitchell],Richard,Bennet [Bennett],,,"Pomfret, Charles county","Pomfret, MD",MD,City,NA,NA,,,,1790,Mitchel,Richard,Prince Georges,Prince Georges,"Prince Georges, MD",11,5,1,5,0,0,http://www.colonial-settlers-md-va.us/getperson.php?personID=I021002&tree=tree1,,1749,41,1802,NA,NA,,NA,,,-77.0306325,38.5735817,"pomfret, md, usa",
Badin Bible,Molyneux,Robert,,Rev.,2 copies,Port Tobacco,"8855 Chapel Point Rd, Port Tobacco, MD",MD,Point,NA,NA,St. Thomas Manor,https://mht.maryland.gov/secure/medusa/PDF/NR_PDFs/NR-1026.pdf,,1790,Molyneaux,Revd,Charles,Charles,"Charles, MD",70,0,6,0,64,0,,,1738,"Formby, Lancashire, England",1808,52,1771,Jesuit priest; president of Georgetown,1,64,St. Thomas Manor; second and fifth president of Georgetown University,-77.0237239,38.4654888,"8855 chapel point rd, port tobacco, md 20677, usa",
Badin Bible,Montgomery,,,,,Charles County,"Charles County, MD",MD,County,NA,NA,,,,NA,,,,,,NA,NA,NA,NA,NA,NA,not enough information,,,,NA,NA,NA,,NA,,,-77.1024902,38.5221781,"charles county, md, usa",
Badin Bible,Neale,Francis,,Rev.,2 copies,[unknown],"8855 Chapel Point Rd, Port Tobacco, MD",MD,Point,NA,NA,St. Thomas Manor,https://mht.maryland.gov/secure/medusa/PDF/NR_PDFs/NR-1026.pdf,,NA,,,,,,NA,NA,NA,NA,NA,NA,"Rev. Francis Neale lived at St. Thomas Manor, near Port Tobacco, until 1792, when he was assigned to Georgetown. See William W. Warner, At Peace with All Their Neighbors: Catholics and Catholicism in the National Capital 1787-1860 (1994), 20. He is also listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 366.",A lot of primary documents on him here: https://books.google.com/books?id=JO3PAAAAMAAJ&pg=PA150&dq=%22baker+brooke%22&hl=en&sa=X&ved=0ahUKEwi7l8PepcTbAhWPGDQIHUG3A3wQ6AEIRjAF#v=onepage&q=%22baker%20brooke%22&f=false,1756,"Charles County, MD",1838,34,NA,Priest,1,,"St. Thomas Manor - see ""slave house"" map here - https://slaveryarchive.georgetown.edu/items/show/149; Georgetown President brother of Rev. Charles Neale",-77.0237239,38.4654888,"8855 chapel point rd, port tobacco, md 20677, usa",
Badin Bible,Neale,Leonard,,Rev.,2 copies,Port Tobacco,"8855 Chapel Point Rd, Port Tobacco, MD",MD,Point,NA,NA,St. Thomas Manor,https://mht.maryland.gov/secure/medusa/PDF/NR_PDFs/NR-1026.pdf,,NA,,,,,,NA,NA,NA,NA,NA,NA,"doesn't appear in 1790 census. He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 366.",http://www.colonial-settlers-md-va.us/getperson.php?personID=I017412&tree=Tree1,1747,"Charles County, MD",1817,43,NA,"Priest, president of Georgetown",1,,St. Thomas Manor; Georgetown; director of affairs as Vicar-General of the Diocese of Baltimore; Bishop of Baltimore,-77.0237239,38.4654888,"8855 chapel point rd, port tobacco, md 20677, usa",
Badin Bible,O'Neil,Bernard,,Esq.,,Georgetown,"3700 O St NW, Washington, DC 20057","Washington, DC",Point,NA,NA,Location approximate. O'Neil had seems to have had quite a bit of land around what would become Georgetown.,http://www.colonial-settlers-md-va.us/getperson.php?personID=I021207&tree=tree1,,NA,,,,,,NA,NA,NA,NA,NA,NA,doesn't appear in 1790 census,,,,1815,NA,NA,,NA,,,-77.0716037,38.9076848,"3700 o st nw, washington, dc 20057, usa",
Badin Bible,Pettit,Peter,,,,Milestown,"Milestown, MD",MD,City,NA,NA,,,,1790,Pettit,Peter,South Hempstead,Queens,"Queens, NY",6,2,1,3,0,0,The census Peter Pettit is not this Peter Pettit.,,,,NA,NA,NA,,NA,,,-76.7735785,38.2873507,"milestown, 7, milestown, md 20618, usa",
Badin Bible,Pile,Henry,,Rev.,2 copies,"Newport, MD","11555 St Marys Church Rd, Charlotte Hall, MD 20622",MD,Point,NA,NA,"Rev. Henry Pile was stationed at the Newport Mission in 1784 or 1785 and served as pastor there until 1813. According to the Maryland Historical trust, the site of the mission was where St. Mary's Catholic Church is located now.",https://mht.maryland.gov/secure/medusa/PDF/Charles/CH-786.pdf,,NA,,,,,,NA,NA,NA,NA,NA,NA,"He is listed as a subscriber in ""Selections from the Correspondence of the Deceased Mathew Carey . . . .,"" Records of the American Catholic Historical Society of Philadelphia, Vol. 9, American Catholic Historical Society of Philadelphia, 1898, p. 363. On p 360 Carroll identifies Pile's location as ""Newport, Charles County.""",https://books.google.com/books?id=hmfXAAAAMAAJ&pg=PA348&lpg=PA348&dq=%22rev+Henry+Pile%22&source=bl&ots=23O0ZbJfqJ&sig=Jt1qCcK1Tk1psJUk3-QFxTBVO-k&hl=en&sa=X&ved=0ahUKEwiL863hq-DbAhXmhVQKHRaWBo0Q6AEIKTAA#v=onepage&q=%22rev%20Henry%20Pile%22&f=false,,,1813,NA,NA,Priest,NA,,Newport mission since 1785; St. Thomas Manor (where he died),-76.9095969,38.4337575,"11555 st marys church rd, charlotte hall, md 20622, usa",
Badin Bible,Pindar,James,,,,Queen's town,"Queenstown, MD",MD,City,NA,NA,,,,1790,Pinder,James,Queen Annes,Queen Annes,"Queen Annes, MD",10,1,4,2,3,0,,,,,NA,NA,NA,,1,3,,-76.1577268,38.9906679,"queenstown, md 21658, usa",
Badin Bible,Plowden,Edmond [Edmund],,Esq.,,St. Mary's County,"45270 Daniels Rd, Hollywood, MD 20636",MD,Point,NA,NA,"Plowden's father mentions the name of his manor (""Resurrection Manor"") in his will and leaves the manor and the land specifically to Edmund.",http://www.colonial-settlers-md-va.us/getperson.php?personID=I011876&tree=tree1,,1790,Plowden,Edmund,,,"St Marys, MD",72,2,2,4,64,NA,,,1751,,1804,39,NA,,1,64,,-76.509397,38.338234,"45270 daniels rd, hollywood, md 20636, usa",
Badin Bible,Plunket [Plunkett],Robert,,Rev.,,[unknown],"16501 Annapolis Rd, Bowie, MD 20715",MD,Point,NA,NA,"When Rev. Robert Plunkett sailed to the United States in 1790 along with Rev. Charles Neal, he was posted at the White Marsh plantation. Sacred Heart Church now stands where the White Marsh chapel used to be.",https://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/020400/020400/html/020400sources.html,,NA,,,,,,NA,NA,NA,NA,NA,NA,"I found this location--White Marsh, MD--from Robert Emmett Curran, A History of Georgetown University, vol I (Washington, DC, 2010): 34.",The last name is Plunkett in multiple sources,1752,"alumnus of English College, Douai",1815,38,1790,"Jesuit priest, president of Georgetown",NA,,First president of Georgetown; White Marsh Plantation,-76.7213416,38.9833445,"16501 annapolis rd, bowie, md 20715, usa",
